id,question_id,question_slug,author,answer_text,background_text,language,source,source_question,source_note,use_in_background
1,1,motto,"Marcel Proust, 16","Любимое изречение - то, которое нельзя резюмировать (или пересказать вкратце), поскольку его наиболее простое выражение представляет собой всё, что есть самого лучшего, красивого и великого в природе.","Любимое изречение - то, которое нельзя резюмировать (или пересказать вкратце), поскольку его наиболее простое выражение представляет собой всё, что есть самого лучшего, красивого и великого в природе.",ru,Анкета Пруста N1,Ваше любимое изречение?,Оригинальный вопрос был про любимое изречение.,true
2,1,motto,"Marcel Proust, 19","Я предпочитаю его не раскрывать, чтобы он не принёс мне несчастья.","Я предпочитаю его не раскрывать, чтобы он не принёс мне несчастья.",ru,Анкета Пруста N2,,,true
3,2,current_state,"Marcel Proust, 19","Досада, что пришлось так долго размышлять о себе, чтобы ответить на все эти вопросы.","Досада, что пришлось так долго размышлять о себе, чтобы ответить на все эти вопросы.",ru,Анкета Пруста N2,,,true
4,3,favorite_color,"Marcel Proust, 16",Я люблю все цвета.,Я люблю все цвета.,ru,Анкета Пруста N1,Ваш любимый цвет и цветок?,Ответ разделен между цветом и цветком.,true
5,3,favorite_color,"Marcel Proust, 19","Красота заключается не в одном цвете, а в их гармонии.","Красота заключается не в одном цвете, а в их гармонии.",ru,Анкета Пруста N2,,,true
6,4,favorite_occupation,"Marcel Proust, 16","Читать, мечтать, заниматься поэзией, историей, посещать театр.","Читать, мечтать, заниматься поэзией, историей, посещать театр.",ru,Анкета Пруста N1,,,true
7,4,favorite_occupation,"Marcel Proust, 19",Любить.,Любить.,ru,Анкета Пруста N2,,,true
8,5,desired_ability,"Marcel Proust, 19",Сила воли и умение очаровывать.,Сила воли и умение очаровывать.,ru,Анкета Пруста N2,,,true
9,6,desired_self,"Marcel Proust, 16","Поскольку этот вопрос неактуален, я бы предпочёл не отвечать на него. В то же самое время, я не отказался бы быть Плинием Младшим.","Поскольку этот вопрос неактуален, я бы предпочёл не отвечать на него. В то же самое время, я не отказался бы быть Плинием Младшим.",ru,Анкета Пруста N1,"Если не собой, то кем Вам хотелось бы быть?",,true
10,6,desired_self,"Marcel Proust, 19","Самим собой - таким, каким меня хотели бы видеть люди, которыми я восхищаюсь.","Самим собой - таким, каким меня хотели бы видеть люди, которыми я восхищаюсь.",ru,Анкета Пруста N2,,,true
11,7,dream_of_happiness,"Marcel Proust, 16","Жить с людьми, которых я люблю, в окружении красивой природы, среди множества книг и музыки, и неподалёку от французского театра.","Жить с людьми, которых я люблю, в окружении красивой природы, среди множества книг и музыки, и неподалёку от французского театра.",ru,Анкета Пруста N1,Ваша идея о счастье?,,true
