answer_id,question_id,question_order,question_slug,question,author,answer_text,background_text,language,source,source_question,source_note,use_in_background
1,1,1,motto,Ваш девиз?,"Marcel Proust, 16","Любимое изречение - то, которое нельзя резюмировать (или пересказать вкратце), поскольку его наиболее простое выражение представляет собой всё, что есть самого лучшего, красивого и великого в природе.","Любимое изречение - то, которое нельзя резюмировать (или пересказать вкратце), поскольку его наиболее простое выражение представляет собой всё, что есть самого лучшего, красивого и великого в природе.",ru,Анкета Пруста N1,Ваше любимое изречение?,Оригинальный вопрос был про любимое изречение.,true
2,1,1,motto,Ваш девиз?,"Marcel Proust, 19","Я предпочитаю его не раскрывать, чтобы он не принёс мне несчастья.","Я предпочитаю его не раскрывать, чтобы он не принёс мне несчастья.",ru,Анкета Пруста N2,,,true
3,2,2,current_state,Ваше состояние духа в настоящий момент?,"Marcel Proust, 19","Досада, что пришлось так долго размышлять о себе, чтобы ответить на все эти вопросы.","Досада, что пришлось так долго размышлять о себе, чтобы ответить на все эти вопросы.",ru,Анкета Пруста N2,,,true
4,3,3,favorite_color,Ваш любимый цвет?,"Marcel Proust, 16",Я люблю все цвета.,Я люблю все цвета.,ru,Анкета Пруста N1,Ваш любимый цвет и цветок?,Ответ разделен между цветом и цветком.,true
5,3,3,favorite_color,Ваш любимый цвет?,"Marcel Proust, 19","Красота заключается не в одном цвете, а в их гармонии.","Красота заключается не в одном цвете, а в их гармонии.",ru,Анкета Пруста N2,,,true
6,4,4,favorite_occupation,Какое Ваше любимое занятие?,"Marcel Proust, 16","Читать, мечтать, заниматься поэзией, историей, посещать театр.","Читать, мечтать, заниматься поэзией, историей, посещать театр.",ru,Анкета Пруста N1,,,true
7,4,4,favorite_occupation,Какое Ваше любимое занятие?,"Marcel Proust, 19",Любить.,Любить.,ru,Анкета Пруста N2,,,true
8,5,5,desired_ability,"Способность, которой вам хотелось бы обладать?","Marcel Proust, 19",Сила воли и умение очаровывать.,Сила воли и умение очаровывать.,ru,Анкета Пруста N2,,,true
9,6,6,desired_self,Каким Вы хотели бы быть?,"Marcel Proust, 16","Поскольку этот вопрос неактуален, я бы предпочёл не отвечать на него. В то же самое время, я не отказался бы быть Плинием Младшим.","Поскольку этот вопрос неактуален, я бы предпочёл не отвечать на него. В то же самое время, я не отказался бы быть Плинием Младшим.",ru,Анкета Пруста N1,"Если не собой, то кем Вам хотелось бы быть?",,true
10,6,6,desired_self,Каким Вы хотели бы быть?,"Marcel Proust, 19","Самим собой - таким, каким меня хотели бы видеть люди, которыми я восхищаюсь.","Самим собой - таким, каким меня хотели бы видеть люди, которыми я восхищаюсь.",ru,Анкета Пруста N2,,,true
11,7,7,dream_of_happiness,Какова Ваша мечта о счастье?,"Marcel Proust, 16","Жить с людьми, которых я люблю, в окружении красивой природы, среди множества книг и музыки, и неподалёку от французского театра.","Жить с людьми, которых я люблю, в окружении красивой природы, среди множества книг и музыки, и неподалёку от французского театра.",ru,Анкета Пруста N1,Ваша идея о счастье?,,true
12,7,7,dream_of_happiness,Какова Ваша мечта о счастье?,"Marcel Proust, 19","Боюсь, что она недостаточно возвышенна, к тому же боюсь разрушить её словами.","Боюсь, что она недостаточно возвышенна, к тому же боюсь разрушить её словами.",ru,Анкета Пруста N2,,,true
13,8,8,friends_qualities,Что Вы больше всего цените в Ваших друзьях?,"Marcel Proust, 19","Нежность по отношению ко мне, при том, что их личности настолько утончённы, что их нежностью стоит дорожить.","Нежность по отношению ко мне, при том, что их личности настолько утончённы, что их нежностью стоит дорожить.",ru,Анкета Пруста N2,,,true
14,9,9,favorite_writers,Ваши любимые писатели?,"Marcel Proust, 16","Жорж Санд, Огюстен Тьерри.","Жорж Санд, Огюстен Тьерри.",ru,Анкета Пруста N1,,,true
15,9,9,favorite_writers,Ваши любимые писатели?,"Marcel Proust, 19",Сегодня это Анатоль Франс и Пьер Лоти.,Сегодня это Анатоль Франс и Пьер Лоти.,ru,Анкета Пруста N2,,,true
16,10,10,favorite_poets,Ваши любимые поэты?,"Marcel Proust, 16",Мюссе.,Мюссе.,ru,Анкета Пруста N1,,,true
17,10,10,favorite_poets,Ваши любимые поэты?,"Marcel Proust, 19",Бодлер и Альфред де Виньи.,Бодлер и Альфред де Виньи.,ru,Анкета Пруста N2,,,true
18,11,11,favorite_literary_hero,Любимый литературный герой?,"Marcel Proust, 16","Те из романов и лирики, которые скорее выражают идеал, чем служат примером для подражания.","Те из романов и лирики, которые скорее выражают идеал, чем служат примером для подражания.",ru,Анкета Пруста N1,Каковы Ваши любимые литературные персонажи?,,true
19,11,11,favorite_literary_hero,Любимый литературный герой?,"Marcel Proust, 19",Гамлет.,Гамлет.,ru,Анкета Пруста N2,,,true
20,12,12,favorite_composers,Любимые композиторы?,"Marcel Proust, 16","Моцарт, Гуно.","Моцарт, Гуно.",ru,Анкета Пруста N1,Ваши любимые художники и композиторы?,Ответ разделен между художниками и композиторами.,true
21,12,12,favorite_composers,Любимые композиторы?,"Marcel Proust, 19","Бетховен, Вагнер, Шуман.","Бетховен, Вагнер, Шуман.",ru,Анкета Пруста N2,,,true
22,13,13,favorite_artists,Любимые художники?,"Marcel Proust, 16",Мейсонье.,Мейсонье.,ru,Анкета Пруста N1,Ваши любимые художники и композиторы?,Ответ разделен между художниками и композиторами.,true
23,13,13,favorite_artists,Любимые художники?,"Marcel Proust, 19","Леонардо да Винчи, Рембрандт.","Леонардо да Винчи, Рембрандт.",ru,Анкета Пруста N2,,,true
24,14,14,real_life_heroes,Любимые герои в реальной жизни?,"Marcel Proust, 16","Нечто среднее между Сократом, Периклом, Магометом, Мюссе, Плинием Младшим и Огюстеном Тьерри.","Нечто среднее между Сократом, Периклом, Магометом, Мюссе, Плинием Младшим и Огюстеном Тьерри.",ru,Анкета Пруста N1,,,true
25,14,14,real_life_heroes,Любимые герои в реальной жизни?,"Marcel Proust, 19","Месье Дарлю, месье Бутру.","Месье Дарлю, месье Бутру.",ru,Анкета Пруста N2,,,true
26,15,15,favorite_names,Любимые имена?,"Marcel Proust, 19",В каждый данный момент у меня только одно любимое имя.,В каждый данный момент у меня только одно любимое имя.,ru,Анкета Пруста N2,,,true
27,16,16,forgiven_vices,К каким порокам Вы чувствуете наибольшее снисхождение?,"Marcel Proust, 16",К частной жизни гениев.,К частной жизни гениев.,ru,Анкета Пруста N1,,,true
28,16,16,forgiven_vices,К каким порокам Вы чувствуете наибольшее снисхождение?,"Marcel Proust, 19","К тем, которые мне понятны.","К тем, которые мне понятны.",ru,Анкета Пруста N2,,,true
29,17,17,most_hated,Что Вы больше всего ненавидите?,"Marcel Proust, 16","К людям, которые не чувствуют, что есть добро, которые пренебрегают счастьем любви.","К людям, которые не чувствуют, что есть добро, которые пренебрегают счастьем любви.",ru,Анкета Пруста N1,К чему Вы испытываете отвращение?,,true
30,17,17,most_hated,Что Вы больше всего ненавидите?,"Marcel Proust, 19","То дурное, что есть во мне.","То дурное, что есть во мне.",ru,Анкета Пруста N2,,,true
31,18,18,main_flaw,Что является Вашим главным недостатком?,"Marcel Proust, 19","Неумение, неспособность «желать».","Неумение, неспособность «желать».",ru,Анкета Пруста N2,,,true
32,19,19,main_trait,Ваша самая характерная черта?,"Marcel Proust, 19","Жажда быть любимым, а точнее, быть обласканным и избалованным, скорее чем служить предметом восхищения.","Жажда быть любимым, а точнее, быть обласканным и избалованным, скорее чем служить предметом восхищения.",ru,Анкета Пруста N2,,,true
33,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?","Marcel Proust, 16","Ум, чувство морали.","Ум, чувство морали.",ru,Анкета Пруста N1,"Качества, которые Вы больше всего цените в мужчине?",Сведено в объединенный вопрос про качества в человеке.,true
34,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?","Marcel Proust, 16","Нежность, естественность, ум.","Нежность, естественность, ум.",ru,Анкета Пруста N1,"Качества, которые Вы больше всего цените в женщине?",Сведено в объединенный вопрос про качества в человеке.,true
35,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?","Marcel Proust, 19",Женственное обаяние.,Женственное обаяние.,ru,Анкета Пруста N2,"Качества, которые Вы больше всего цените в мужчине?",Сведено в объединенный вопрос про качества в человеке.,true
36,20,20,valued_human_qualities,"Качества, которые Вы больше всего цените в человеке?","Marcel Proust, 19",Добродетели мужчины и искренность в дружбе.,Добродетели мужчины и искренность в дружбе.,ru,Анкета Пруста N2,"Качества, которые Вы больше всего цените в женщине?",Сведено в объединенный вопрос про качества в человеке.,true
37,21,21,greatest_misfortune,Что Вы считаете самым большим несчастьем?,"Marcel Proust, 16",Быть в разлуке с мамой.,Быть в разлуке с мамой.,ru,Анкета Пруста N1,Ваша идея о несчастье?,,true
38,21,21,greatest_misfortune,Что Вы считаете самым большим несчастьем?,"Marcel Proust, 19",Никогда не знать мою маму или бабушку.,Никогда не знать мою маму или бабушку.,ru,Анкета Пруста N2,,,true
39,22,22,desired_death,Как Вы хотели бы умереть?,"Marcel Proust, 19","Став лучше, чем я теперь, и любимым.","Став лучше, чем я теперь, и любимым.",ru,Анкета Пруста N2,,,true
40,7,7,dream_of_happiness,Какова Ваша мечта о счастье?,Yayoi Kusama,Happiness is when I make a good artwork.,Happiness is when I make a good artwork.,en,Vanity Fair Proust Questionnaire,,,true
41,5,5,desired_ability,"Способность, которой вам хотелось бы обладать?",Yayoi Kusama,The talent to be able to paint forever.,The talent to be able to paint forever.,en,Vanity Fair Proust Questionnaire,,,true
